epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.476,2.01414,2.66845,1.67269,0.42767,0.13543,0.13696,0.053,2.04756,2.65487,1.60858,0.000659574,0.000659574,0.000659574
2,83.8773,1.91647,2.24718,1.59741,0.31952,0.16534,0.13175,0.04964,2.37003,2.93333,1.95621,0.00131311,0.00131311,0.00131311
3,120.923,1.96859,2.24612,1.62745,0.26208,0.20986,0.13608,0.05714,2.21893,2.46506,1.70995,0.00195345,0.00195345,0.00195345
4,157.924,1.91767,2.16819,1.60008,0.36425,0.17647,0.17088,0.06912,2.2084,3.57218,1.72984,0.0019406,0.0019406,0.0019406
5,197.298,1.91746,2.14448,1.58815,0.33076,0.21463,0.15827,0.06464,2.13022,2.40362,1.65341,0.0019208,0.0019208,0.0019208
6,236.747,1.88801,2.11426,1.56287,0.40289,0.2035,0.19464,0.09026,2.09026,2.25531,1.6146,0.001901,0.001901,0.001901
7,275.769,1.87718,2.07778,1.56015,0.40513,0.21781,0.19183,0.08749,2.07715,2.33385,1.57883,0.0018812,0.0018812,0.0018812
8,315.778,1.8547,2.0269,1.53931,0.38117,0.25596,0.21884,0.10167,2.01854,2.44205,1.5308,0.0018614,0.0018614,0.0018614
9,352.583,1.82578,2.00103,1.51853,0.40332,0.24642,0.23343,0.10388,2.0463,2.1813,1.59532,0.0018416,0.0018416,0.0018416
10,389.691,1.82687,1.96076,1.52109,0.34504,0.18442,0.17283,0.07846,2.07787,2.24952,1.61404,0.0018218,0.0018218,0.0018218
11,429.493,1.79797,1.94735,1.50621,0.3203,0.24642,0.19901,0.08968,2.02775,2.21116,1.60507,0.001802,0.001802,0.001802
12,469.604,1.79548,1.95783,1.50652,0.43577,0.23847,0.23796,0.11817,1.9591,2.1752,1.58819,0.0017822,0.0017822,0.0017822
13,509.476,1.7829,1.95385,1.50428,0.43554,0.2655,0.26237,0.1193,1.96204,2.01729,1.53969,0.0017624,0.0017624,0.0017624
14,548.658,1.7629,1.92324,1.50182,0.44663,0.25021,0.24369,0.11691,1.93747,2.09342,1.52203,0.0017426,0.0017426,0.0017426
15,588.556,1.77647,1.90141,1.48966,0.35932,0.2461,0.22719,0.10311,1.99708,2.15522,1.52157,0.0017228,0.0017228,0.0017228
16,628.509,1.7362,1.89117,1.48511,0.42431,0.26073,0.25572,0.12107,1.94394,2.1109,1.57983,0.001703,0.001703,0.001703
17,668.938,1.74407,1.88127,1.47569,0.38567,0.25251,0.19627,0.09042,1.98053,2.13124,1.56809,0.0016832,0.0016832,0.0016832
18,708.389,1.72143,1.88493,1.47079,0.41798,0.28299,0.27164,0.13354,1.90922,1.9411,1.52288,0.0016634,0.0016634,0.0016634
19,748.127,1.72014,1.85285,1.46889,0.40992,0.27504,0.2543,0.1194,1.97187,2.05532,1.51324,0.0016436,0.0016436,0.0016436
20,788.028,1.72936,1.85106,1.47982,0.45857,0.27345,0.25644,0.12346,1.92602,2.04132,1.55426,0.0016238,0.0016238,0.0016238
21,827.713,1.72118,1.82712,1.4467,0.42339,0.27345,0.27269,0.12665,1.89985,1.96755,1.50166,0.001604,0.001604,0.001604
22,866.499,1.70394,1.83283,1.46134,0.3646,0.27822,0.25386,0.12231,1.91464,1.99905,1.55472,0.0015842,0.0015842,0.0015842
23,904.275,1.69469,1.81141,1.45615,0.40667,0.29412,0.27108,0.13432,1.87622,1.96971,1.49016,0.0015644,0.0015644,0.0015644
24,968.483,1.70004,1.79785,1.46139,0.42854,0.26587,0.27558,0.12989,1.87033,1.93606,1.50032,0.0015446,0.0015446,0.0015446
25,1014.17,1.70476,1.78405,1.45645,0.39688,0.26391,0.25557,0.1207,1.98979,1.96467,1.54404,0.0015248,0.0015248,0.0015248
26,1052.92,1.68798,1.78178,1.43003,0.49907,0.29253,0.30321,0.14671,1.89987,1.91104,1.51887,0.001505,0.001505,0.001505
27,1092.87,1.67531,1.77479,1.4427,0.42681,0.2655,0.24669,0.11873,1.88075,2.01738,1.48856,0.0014852,0.0014852,0.0014852
28,1132.46,1.69496,1.76311,1.42925,0.46145,0.30366,0.29662,0.14293,1.88393,1.84053,1.484,0.0014654,0.0014654,0.0014654
29,1172.35,1.67194,1.75826,1.42729,0.51457,0.27132,0.28655,0.13476,1.87836,1.91172,1.49563,0.0014456,0.0014456,0.0014456
30,1212.66,1.66745,1.71804,1.42624,0.4097,0.2973,0.26815,0.12266,1.91976,1.93992,1.54933,0.0014258,0.0014258,0.0014258
31,1253.37,1.64842,1.73086,1.41619,0.41964,0.27345,0.25805,0.12322,1.90681,1.94091,1.497,0.001406,0.001406,0.001406
32,1293.31,1.62728,1.67003,1.39445,0.46683,0.27822,0.26497,0.12891,1.90771,1.96694,1.5149,0.0013862,0.0013862,0.0013862
33,1334.21,1.63848,1.69144,1.40641,0.46903,0.28368,0.26473,0.13018,1.89765,1.98859,1.52115,0.0013664,0.0013664,0.0013664
34,1375.78,1.64001,1.67585,1.419,0.4321,0.32056,0.30388,0.14807,1.85364,1.87971,1.45249,0.0013466,0.0013466,0.0013466
35,1415.61,1.60785,1.67292,1.40446,0.50297,0.27822,0.27978,0.1364,1.8755,1.97232,1.51594,0.0013268,0.0013268,0.0013268
36,1457.43,1.62762,1.66612,1.41001,0.45484,0.29571,0.28467,0.13899,1.92827,1.89184,1.5241,0.001307,0.001307,0.001307
37,1499.21,1.625,1.68535,1.40538,0.45096,0.30048,0.2933,0.13589,1.92552,1.87575,1.50896,0.0012872,0.0012872,0.0012872
38,1540.45,1.60923,1.63632,1.38988,0.49252,0.27822,0.28761,0.14225,1.89328,1.92994,1.49939,0.0012674,0.0012674,0.0012674
39,1580.79,1.62078,1.64678,1.39058,0.43451,0.31479,0.28083,0.13017,1.9086,1.9503,1.52144,0.0012476,0.0012476,0.0012476
40,1622.81,1.60723,1.63855,1.38868,0.42505,0.2715,0.24984,0.11561,1.9397,2.00882,1.5362,0.0012278,0.0012278,0.0012278
41,1663.02,1.60561,1.62808,1.38294,0.4719,0.29094,0.29,0.14134,1.90292,1.89902,1.50493,0.001208,0.001208,0.001208
42,1698.9,1.59038,1.61861,1.37365,0.48554,0.30366,0.30034,0.14011,1.90013,1.94082,1.49319,0.0011882,0.0011882,0.0011882
43,1739,1.5955,1.62852,1.39331,0.47327,0.29094,0.29366,0.13796,1.90401,1.91318,1.50603,0.0011684,0.0011684,0.0011684
44,1783.25,1.59331,1.61582,1.37178,0.45006,0.29889,0.28924,0.1415,1.91247,1.91269,1.51516,0.0011486,0.0011486,0.0011486
45,1829.26,1.58894,1.60084,1.37468,0.43512,0.31955,0.30584,0.13727,1.90777,1.88043,1.49999,0.0011288,0.0011288,0.0011288
46,1873.69,1.58093,1.60686,1.37216,0.4338,0.24848,0.25116,0.11843,1.92411,2.04175,1.49464,0.001109,0.001109,0.001109
47,1917.62,1.58576,1.59536,1.38122,0.45554,0.31955,0.29136,0.14526,1.87662,1.85866,1.45852,0.0010892,0.0010892,0.0010892
48,1965.07,1.58381,1.59001,1.36356,0.4482,0.3132,0.29845,0.14312,1.88063,1.84978,1.48443,0.0010694,0.0010694,0.0010694
49,2011.69,1.56971,1.58433,1.36743,0.48812,0.26391,0.28803,0.13752,1.88742,1.90068,1.50658,0.0010496,0.0010496,0.0010496
50,2058.77,1.55415,1.54723,1.35405,0.50245,0.30207,0.29552,0.13761,1.9097,1.90492,1.50356,0.0010298,0.0010298,0.0010298
51,2105.07,1.55387,1.53128,1.35166,0.48617,0.31161,0.30148,0.14993,1.87708,1.85162,1.48135,0.00101,0.00101,0.00101
52,2151.31,1.55246,1.52499,1.35109,0.44358,0.30366,0.29177,0.14165,1.90429,1.88193,1.50055,0.0009902,0.0009902,0.0009902
53,2198.02,1.52682,1.51622,1.34343,0.52371,0.2814,0.302,0.14374,1.8985,1.91643,1.49406,0.0009704,0.0009704,0.0009704
54,2244.33,1.55483,1.52,1.3469,0.52721,0.27822,0.29628,0.13921,1.9111,1.9215,1.51528,0.0009506,0.0009506,0.0009506
55,2290.64,1.54175,1.5019,1.32784,0.55965,0.29889,0.315,0.1523,1.89299,1.81951,1.50403,0.0009308,0.0009308,0.0009308
56,2345.14,1.53603,1.50317,1.34146,0.51316,0.27981,0.29172,0.13816,1.91163,1.88443,1.50475,0.000911,0.000911,0.000911
57,2384.31,1.52262,1.49981,1.33137,0.50914,0.30048,0.30731,0.14623,1.92505,1.84442,1.50551,0.0008912,0.0008912,0.0008912
58,2424.27,1.51016,1.46421,1.32675,0.44603,0.31002,0.28637,0.13849,1.88933,1.89916,1.4955,0.0008714,0.0008714,0.0008714
59,2466.41,1.53156,1.46976,1.33087,0.44327,0.31797,0.30519,0.14932,1.89777,1.83519,1.50176,0.0008516,0.0008516,0.0008516
60,2509.49,1.52752,1.4786,1.32835,0.53548,0.27186,0.27932,0.1301,1.92282,1.98475,1.51197,0.0008318,0.0008318,0.0008318
61,2552.51,1.49301,1.45419,1.31468,0.55269,0.29465,0.31552,0.15115,1.9147,1.85129,1.51863,0.000812,0.000812,0.000812
62,2595.62,1.51901,1.45223,1.32011,0.46648,0.30581,0.30732,0.14574,1.92847,1.86049,1.52272,0.0007922,0.0007922,0.0007922
63,2638.53,1.48404,1.41158,1.30364,0.53844,0.30366,0.31073,0.14146,1.90877,1.84868,1.50566,0.0007724,0.0007724,0.0007724
64,2680.51,1.51183,1.45142,1.31553,0.51056,0.28617,0.30127,0.14368,1.92281,1.89552,1.50489,0.0007526,0.0007526,0.0007526
65,2723.05,1.48417,1.41494,1.31767,0.55619,0.27663,0.29008,0.13809,1.91115,1.90209,1.50892,0.0007328,0.0007328,0.0007328
66,2766.15,1.46977,1.42998,1.30562,0.52049,0.29094,0.28446,0.13621,1.9264,1.94403,1.50118,0.000713,0.000713,0.000713
67,2805.28,1.46958,1.38148,1.30082,0.50017,0.29571,0.3003,0.14069,1.93808,1.91453,1.53213,0.0006932,0.0006932,0.0006932
68,2841.38,1.47586,1.38918,1.30581,0.55193,0.27822,0.29984,0.14318,1.90397,1.89047,1.47443,0.0006734,0.0006734,0.0006734
69,2881.01,1.49066,1.39867,1.3009,0.53882,0.2973,0.30081,0.14353,1.94112,1.90336,1.5143,0.0006536,0.0006536,0.0006536
70,2920.42,1.48695,1.39964,1.30038,0.47072,0.28561,0.28004,0.13583,1.92267,1.9036,1.51829,0.0006338,0.0006338,0.0006338
71,2958.52,1.45401,1.36879,1.28548,0.50703,0.28935,0.29918,0.13788,1.92621,1.92251,1.50879,0.000614,0.000614,0.000614
72,2996.3,1.46872,1.36545,1.28514,0.51216,0.32114,0.32174,0.15366,1.89386,1.85634,1.49736,0.0005942,0.0005942,0.0005942
73,3032.75,1.46095,1.35063,1.29499,0.51891,0.30048,0.31964,0.14771,1.90404,1.86849,1.48231,0.0005744,0.0005744,0.0005744
74,3068.33,1.46606,1.3628,1.28637,0.50074,0.30843,0.30674,0.14194,1.91509,1.90915,1.50219,0.0005546,0.0005546,0.0005546
75,3103.62,1.43419,1.33572,1.2778,0.55974,0.2973,0.3077,0.14686,1.947,1.89603,1.52525,0.0005348,0.0005348,0.0005348
