epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1366.47,1.9917,2.60705,1.63439,0.10808,0.13427,0.04313,0.01807,2.04651,2.72311,1.57731,0.000659574,0.000659574,0.000659574
2,2512.78,1.93104,2.27559,1.57985,0.32836,0.17488,0.1469,0.05929,2.08392,2.46965,1.64678,0.00127372,0.00127372,0.00127372
3,3689.25,1.96261,2.25642,1.60765,0.20814,0.17806,0.09411,0.03853,2.16895,2.66174,1.66582,0.00183507,0.00183507,0.00183507
4,4555.93,1.9375,2.18135,1.58683,0.42041,0.2035,0.20017,0.08978,2.09351,2.32895,1.63398,0.0017624,0.0017624,0.0017624
5,5712.02,1.91901,2.17903,1.56938,0.37881,0.20827,0.19832,0.08975,2.05917,2.19967,1.49683,0.0016832,0.0016832,0.0016832
6,6858.12,1.88756,2.13752,1.56251,0.34782,0.24165,0.21698,0.09413,2.04055,2.20476,1.66715,0.001604,0.001604,0.001604
7,8032.52,1.86256,2.05282,1.53145,0.45346,0.20445,0.2044,0.09334,1.98785,2.25899,1.56298,0.0015248,0.0015248,0.0015248
8,9188.9,1.83141,2.02197,1.50636,0.35918,0.25039,0.22344,0.10771,1.9673,2.14023,1.50446,0.0014456,0.0014456,0.0014456
9,10319.1,1.83148,1.99314,1.51619,0.33791,0.25119,0.21559,0.10072,2.02126,2.11539,1.53839,0.0013664,0.0013664,0.0013664
10,11254.7,1.78914,1.97131,1.49743,0.37698,0.22893,0.20776,0.0987,1.95634,2.29279,1.55147,0.0012872,0.0012872,0.0012872
11,12400.5,1.76693,1.92738,1.48007,0.38643,0.26073,0.23305,0.10836,1.97821,2.08384,1.53635,0.001208,0.001208,0.001208
12,13572.5,1.73913,1.91503,1.45129,0.47799,0.24165,0.24755,0.12023,1.92159,2.1081,1.50487,0.0011288,0.0011288,0.0011288
13,14745,1.75143,1.87933,1.46307,0.4391,0.2496,0.23633,0.11373,1.89009,2.1203,1.50132,0.0010496,0.0010496,0.0010496
14,15904.4,1.7283,1.8747,1.4493,0.41489,0.26717,0.25819,0.12519,1.89409,1.97333,1.4545,0.0009704,0.0009704,0.0009704
15,17180.6,1.71675,1.84324,1.44076,0.46017,0.26709,0.27447,0.13264,1.88452,1.99404,1.50106,0.0008912,0.0008912,0.0008912
16,18050.5,1.71005,1.88456,1.45325,0.51309,0.25119,0.27086,0.12958,1.8968,1.96052,1.45692,0.000812,0.000812,0.000812
17,18862.6,1.68768,1.83207,1.45094,0.45625,0.26868,0.28156,0.13316,1.84854,1.95002,1.46495,0.0007328,0.0007328,0.0007328
18,19808.2,1.66215,1.78807,1.43954,0.42452,0.26709,0.25292,0.12173,1.86039,2.06582,1.49604,0.0006536,0.0006536,0.0006536
19,20466.9,1.66076,1.78552,1.4324,0.48243,0.24896,0.28944,0.1405,1.85101,1.90056,1.49103,0.0005744,0.0005744,0.0005744
20,21120.6,1.61879,1.74143,1.42377,0.44745,0.26391,0.26685,0.13236,1.84641,2.00335,1.46109,0.0004952,0.0004952,0.0004952
21,21778.4,1.6061,1.73027,1.41737,0.43052,0.28458,0.2705,0.13075,1.82915,1.93561,1.4697,0.000416,0.000416,0.000416
22,22429.1,1.60098,1.69116,1.40045,0.4723,0.28458,0.2957,0.14469,1.81096,1.86571,1.45726,0.0003368,0.0003368,0.0003368
23,23087.9,1.5834,1.66269,1.39595,0.53089,0.28458,0.29663,0.14424,1.83767,1.87431,1.45753,0.0002576,0.0002576,0.0002576
24,23745.2,1.56932,1.63174,1.38348,0.55434,0.30257,0.31068,0.15548,1.80458,1.83902,1.44757,0.0001784,0.0001784,0.0001784
25,24419.9,1.55598,1.64244,1.37805,0.53493,0.29989,0.30954,0.15131,1.79464,1.85815,1.44334,9.92e-05,9.92e-05,9.92e-05
