epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.351,1.95187,1.98244,1.57407,0.37466,0.4025,0.32407,0.15376,1.78372,2.04173,1.46636,0.000663317,0.000663317,0.000663317
2,978.416,1.81447,1.7713,1.48123,0.41476,0.41636,0.37081,0.17938,1.71904,1.96313,1.43251,0.00126415,0.00126415,0.00126415
3,1444.78,1.79529,1.74535,1.46669,0.46758,0.45022,0.41557,0.20816,1.68727,1.75357,1.45505,0.00179898,0.00179898,0.00179898
4,1948.09,1.7943,1.74509,1.46401,0.41287,0.37446,0.33331,0.16229,1.76187,1.82685,1.42981,0.001703,0.001703,0.001703
5,2398.73,1.75253,1.71211,1.46009,0.50632,0.46931,0.45764,0.23459,1.64944,1.63043,1.43343,0.001604,0.001604,0.001604
6,2861.45,1.76639,1.68142,1.4609,0.49195,0.45893,0.44631,0.23199,1.65042,1.62529,1.41447,0.001505,0.001505,0.001505
7,3329.32,1.72256,1.64545,1.44726,0.40112,0.40965,0.34857,0.16937,1.75294,1.81691,1.44351,0.001406,0.001406,0.001406
8,3783.06,1.72774,1.6449,1.44958,0.45772,0.46604,0.42983,0.22519,1.63991,1.70419,1.42608,0.001307,0.001307,0.001307
9,4240.47,1.70421,1.60713,1.42871,0.44959,0.44003,0.39875,0.20722,1.64846,1.73997,1.40821,0.001208,0.001208,0.001208
10,4728.38,1.70433,1.60943,1.42094,0.49563,0.47338,0.45263,0.2377,1.62777,1.60492,1.40516,0.001109,0.001109,0.001109
11,5208.1,1.67934,1.62792,1.43773,0.49686,0.46262,0.44619,0.23685,1.59886,1.62502,1.41106,0.00101,0.00101,0.00101
12,5644.61,1.67931,1.59498,1.44701,0.46533,0.48257,0.44178,0.22834,1.65189,1.81134,1.43575,0.000911,0.000911,0.000911
13,6081.9,1.66953,1.5678,1.44004,0.48603,0.48091,0.46515,0.24634,1.62156,1.59462,1.41234,0.000812,0.000812,0.000812
14,6520.55,1.64351,1.56663,1.42808,0.50246,0.48072,0.47018,0.25118,1.60855,1.59033,1.40707,0.000713,0.000713,0.000713
15,6963.24,1.62961,1.54943,1.41838,0.49616,0.47838,0.46307,0.24677,1.57942,1.58457,1.3873,0.000614,0.000614,0.000614
16,7404.89,1.62929,1.51796,1.41888,0.50941,0.47306,0.46583,0.24647,1.59188,1.58682,1.39449,0.000515,0.000515,0.000515
17,7842.31,1.62566,1.51944,1.41586,0.5343,0.4824,0.49494,0.2656,1.55739,1.5173,1.3841,0.000416,0.000416,0.000416
18,8281.35,1.59963,1.49571,1.39559,0.51351,0.47938,0.47547,0.25262,1.59123,1.54475,1.3863,0.000317,0.000317,0.000317
19,8743.81,1.6037,1.47231,1.40795,0.50903,0.48102,0.4744,0.2538,1.57431,1.54519,1.3849,0.000218,0.000218,0.000218
20,9179.23,1.59324,1.4791,1.39567,0.49654,0.49614,0.47977,0.25748,1.57594,1.53532,1.3809,0.000119,0.000119,0.000119
