epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1029.02,1.95255,2.26796,1.63374,0.42886,0.24642,0.23643,0.11208,1.97509,2.01536,1.52399,0.000663102,0.000663102,0.000663102
2,2256.86,1.72685,1.79848,1.47204,0.45466,0.25278,0.25627,0.11848,1.94769,2.00736,1.56684,0.00126394,0.00126394,0.00126394
3,3621.74,1.68715,1.76459,1.44731,0.46999,0.26391,0.24492,0.11776,1.91258,2.02661,1.52953,0.00179879,0.00179879,0.00179879
4,4903.46,1.67195,1.73883,1.43682,0.44678,0.28118,0.26753,0.12939,1.91549,2.0341,1.51724,0.001703,0.001703,0.001703
5,6306.32,1.67548,1.71893,1.43777,0.50734,0.26232,0.26965,0.1335,1.90645,2.03801,1.49034,0.001604,0.001604,0.001604
6,7635.75,1.62984,1.68913,1.41234,0.45864,0.2655,0.27331,0.13328,1.87401,2.06712,1.51567,0.001505,0.001505,0.001505
7,9018.51,1.6076,1.63501,1.40307,0.4776,0.26232,0.27393,0.13568,1.90402,1.89658,1.53606,0.001406,0.001406,0.001406
8,10368.9,1.6218,1.64323,1.40004,0.46099,0.29778,0.28145,0.13364,1.87786,1.90899,1.48099,0.001307,0.001307,0.001307
9,11643.6,1.59832,1.5893,1.39453,0.47761,0.27504,0.27533,0.13298,1.85752,1.98751,1.4913,0.001208,0.001208,0.001208
10,13091.9,1.57976,1.58139,1.37318,0.45474,0.28776,0.27755,0.13285,1.85172,1.92708,1.46737,0.001109,0.001109,0.001109
11,14341.6,1.56101,1.61836,1.39021,0.45906,0.30684,0.2896,0.14176,1.84991,1.86349,1.46566,0.00101,0.00101,0.00101
12,15574.8,1.53799,1.55212,1.37264,0.42389,0.29571,0.28388,0.14351,1.83177,1.86347,1.47511,0.000911,0.000911,0.000911
13,17028.1,1.52758,1.50902,1.36777,0.45579,0.29094,0.29676,0.13914,1.86476,1.90195,1.4794,0.000812,0.000812,0.000812
14,18153.2,1.50805,1.4911,1.35629,0.39526,0.28617,0.263,0.12444,1.88808,2.04835,1.51759,0.000713,0.000713,0.000713
15,19158.5,1.49569,1.44228,1.34955,0.46919,0.2973,0.29165,0.13786,1.86102,1.94559,1.50014,0.000614,0.000614,0.000614
